Code,Description,Default_Translation (en-en),Target_Translation (lt-lt),Has_Translation
I18N_CORE_CHAPTER_NO_NEW_MEMBER,I18NCode for Core Chapter No New Member,Core Chapter No New Member,,No
I18N_CORE_CHAPTERS_IS_REQUIRED,I18NCode for Core chapters is required,Core chapters is required,,No
I18N_CORE_CHAPTERS_THE_REGION,I18NCode for Core Chapters The Region,Core Chapters,,No
I18N_CORE_GROUP,I18NCode for Core Group,Core,,No
I18N_CORE_GROUP_MEMBERS,I18NCode for Core Group Members,Core Members,,No
I18N_CORE_MEMBER,I18NCode for Core Member Caption,Core Members,,No
I18N_CORE_MEMBERS,I18NCode for Code Members Kpi Graph,Core Members,,No
I18N_CORE_MEMBERS_IS_REQUIRED,I18NCode for Core members is required,Core Members is required,,No
I18N_CORE_MEMBERS_THE_REGION,I18NCode for Core Members The Region,Core Members,,No
I18N_COUNTRY,I18NCode for Country,Country,,No
I18N_COUNTRY_AVG,I18NCode for Country AVG,Country Avg,,No
I18N_COUNTRY_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Country cannot exceed 50 characters,Country cannot exceed 50 characteres,,No
I18N_COUNTRY_DEVELOPMENT,I18nCode for Country Development,Country Development,,No
I18N_COUNTRY_EVOLUTION,I18NCode for Country Evolution Page,Country Evolution,,No
I18N_COUNTRY_GOAL_EDIT,I18NCode for Country GOAL EDIT,Edit Country Goal,,No
I18N_COUNTRY_GOAL_MENU,I18NCode for Country Goal Menu,Country,,No
I18N_COUNTRY_IS_REQUIRED,I18NCode for Country is required,Country is required,,No
I18N_COUNTRY_LAST_MONTH,I18NCode for Country Last Month,Country Last Month,,No
I18N_COUNTRY_TABLE,I18NCode for Country Label,Country,,No
I18N_CREATE,I18NCode for Create,Create,,No
I18N_CREATE_A_GROUP_FOR_YOUR_CONTACTS,I18NCode for Create a group for your contacts,Create a group chat for your contacts,,No
I18N_CREATE_AN_ACCOUNT,I18NCode for Create an Account,Create an account,,No
I18N_CREATE_CHAT,i18NCode for Create Chat,Create chat,,No
I18N_CREATE_GROUP,I18NCode for Create group,Create group,,No
I18N_CREATE_NEW_CHAT,I18NCode for Create New Chat,Create New Chat,,No
I18N_CREATE_POLL,I18NCode for Create Poll,Create Poll,,No
I18N_CREATE_USER_ERROR_MESSAGE,I18NCode for Create User Error Message,"System could not find the profile with this email, please contact our support.",,No
I18N_CREATED_AT,,Created at,,No
I18N_CURRENCY,I18Ncode for currency ,$,,No
I18N_CURRENT,I18NCode for Current,Current,,No
I18N_CURRENT_COUNT,"I18NCode for Current Count
",Current Count,,No
I18N_CURRENT_MONTH,I18NCodefor Current Month,Current Month,,No
I18N_CURRENT_MOTH,I18NCode to represent current moth,Current Month,,No
I18N_CURRENT_REPORTS,I18NCode for Current Reports,Current reports,,No
I18N_CURRENT_STATUS,I18NCode for Current Status,Current status,,No
I18N_DA,I18NCode for Area Director,Area Director,,No
I18N_DA_SHORTNAME_,I18NCode for DA ShortName	,AD,,No
I18N_DASHBOARDS,I18NCode for dashboards,Dashboard,,No
I18N_DATA_ANALYSIS,,Data Analysis,,No
I18N_DATE,I18NCode for Date,Date,,No
I18N_DAYS,I18NCode for Days,Days,,No
I18N_DAYS_TO_END,I18NCode for Days to end,Days till End,,No
I18N_DAYS_TO_START,I18NCode for Days to start,Days to start,,No
I18N_DAYS_TOTAL,I18NCode for Days Total,Total Days,,No
I18N_DC,I18NCode for Consultant Director,Consultant Director,,No
I18N_DC_PROFILE,I18NCode for DC,DC,,No
I18N_DC_SHORTNAME,I18NCode for DC ShortName,CD,,No
I18N_DC_TOTAL,I18NCode for DC Total,DC,,No
I18N_DECEMBER,I18NCode for December,December,,No
I18N_DEFINE_GOALS__TRACK_AND_IMPROVE_PRODUCTIVITY_AND_MONITORING_INDICATORS_FOR_ALL_,"I18NCode for Define goals, track and improve Productivity and Monitoring indicators for all.","Define goals, track and improve Productivity and Monitoring indicators for all",,No
I18N_DEFINED,I18NCode for Defined,defined.,,No
I18N_DEFINED_GOALS,I18NCode for Defined Goals,,,No
I18N_DELETE_CANCEL_BUTTON,I18NCode for Delete Cancel Button,"No, cancel",,No
I18N_DELETE_CHAT,I18NCode for Delete Chat,Delete Chat,,No
I18N_DELETE_CHAT_MESSAGE_MODAL,I18NCode for Delete Chat Message Modal,Are you sure you want to delete this chat?,,No
I18N_DELETE_CONFIRM_BUTTON,I18NCode for Delete Confirm Button,"Yes, delete it!",,No
I18N_DELETE_MESSAGE_MODAL,I18NCode for Delete Message Modal,Are you sure you want to delete this message?,,No
I18N_DELETE_MESSAGE_SUCCESS,I18NCode for Delete Message Success,Message delete with success,,No
I18N_DELETE_MODAL,I18NCode for Delete Modal Text,Are you sure you want to delete this item?,,No
I18N_DELETE_SUCCESS_MODAL,I18NCode for Delete Success Modal Text,Deleted with Success,,No
I18N_DELETE_WARNING_TEXT,I18NCode for Delete Warning Text,The item was not deleted!,,No
I18N_DEMOTE_TO_MEMBER,"I18NCode for Demote to member
",Demote to member,,No
I18N_DESCRIPTION,,Description,,No
I18N_DETAILS,I18NCode for details,Details,,No
I18N_DEVELOPMENT,I18NCode for Franchise Development,Development,,No
I18N_DEX,I18NCode for DEX,DEX,,No
I18N_DIF,I18NCode for Dif,Dif.,,No
I18N_DIFUSION,I18NCode for Difusion,Difusion,,No
I18N_DIRECTOR,I18NCode fo Director,Director,,No
I18N_DIRECTOR_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director cannot exceed 50 characters,Director cannot exceed 50 characters,,No
I18N_DIRECTOR_CONSULTANTS,I18NCode for Director Consultants,Director Consultants,,No
I18N_DIRECTOR_DO_NOT_PAY,I18NCode for Director Don´t Pay label,Allow the Director not to pay,,No
I18N_DIRECTOR_DO_NOT_PAY_MEMBERSHIP,I18NCode for Director Don't Pay Membership,Director Don't Pay Membership,,No
I18N_DIRECTOR_GOAL,I18NCode for Director Goal ,Edit Director Goal,,No
I18N_DIRECTOR_GOAL_MENU,I18NCode for Diretor Goals Menu,Director,,No
I18N_DIRECTOR_IS_REQUIRED,I18NCode for Director is required,Director is required,,No
I18N_DIRECTOR_PROFILE_PAGE,I18NCode for Director Profile Page,,,No
I18N_DIRECTOR_TYPE,I18NCode for Director Type,Director Type,,No
I18N_DIRECTOR_TYPE_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director Type cannot exceed 50 characters,Director type cannot exceed 50 characters,,No
I18N_DIRECTOR_TYPE_IS_REQUIRED,I18NCode for Director Type is Required,Director type is required,,No
I18N_DIRECTORS,I18NCode for Directors,Directors,,No
I18N_DISCARD,I18NCode for the discard button,Cancel,,No
I18N_DO_MEMBERS_HAVE_ACCESS_TO_R2Y,I18NCode for Do members have access to R2Y,Do members have access to R2Y,,No
I18N_DOLAR_MEMBER,I18NCode for $ /Member,/Member,,No
I18N_DOLAR12M,I18NCode for $ /12m,/12m,,No
I18N_DONT_EXIST_MEMBERS,I18NCode for Dont Exist Members,Don't exist members,,No
I18N_DOWN,I18NCode for Down,Down,,No
I18N_DOWNLOAD_COMPLETED,"I18NCode for Download completed
",Download completed,,No
I18N_DOWNLOAD_DOCUMENT_HERE,I18NCode for Download Document here,Download the document here,,No
I18N_DOWNLOAD_FAILED,I18NCode for Download failed,Download failed,,No
I18N_DOWNLOADED_SUCCESSFULLY,"I18NCode for Downloaded Successfully

",Downloaded successfully,,No
I18N_DROP_TYPE,I18NCode for Drop Type,Drop Type,,No
I18N_DROPPED,I18NCode for Dropped,Dropped,,No
I18N_DROPPED_MEMBERS,I18NCode for Dropped Members,Dropped Members,,No
I18N_DROPPED_MEMBERS_ACTIVE_CHAPTERS,I18NCode for Dropped Members Active Chapters,Dropped Members / Active Chapters,,No
I18N_DROPS,I18NCode for Drops,Drops,,No
I18N_DROPS_IS_REQUIRED,I18NCode for Drops is required,Drops is required,,No
I18N_DROPS_THE_REGION,I18NCode for Drops The Region,Drops,,No
I18N_DROPSS,I18NCode for Drops,Drops,,No
I18N_DUPLICATE_CONFIRM_BUTTON,I18NCode for Duplicate Confirm Button,"Yes, duplicate!",,No
I18N_DUPLICATE_VALUE,I18NCode for Duplicate Value,Duplicate Value,,No
I18N_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
",Duration of cookies,,No
I18N_ED,I18NCode for ED,ED,,No
I18N_EDIT,I18NCode for Edit ,Edit,,No
I18N_EDIT_CHAPTER_NAME,I18NCode for Edit Chapter Name,Edit Chapter Name,,No
I18N_EDIT_MEMBER_NAME,I18NCode for Edit Member Name,Edit Member Name,,No
I18N_EDIT_REGION_NAME,I18NCode for Edit Region Name,Edit Region Name,,No
I18N_EDIT_TEAM,I18NCode for Edit Team,Editing Team,,No
I18N_EDIT_VALUES,I18NCode for Edit Values,Edit Value,,No
I18N_EL,I18NCode for EL,LT,,No
I18N_ELECTRONIC_CONTACT,"I18NCode for Electronic contact
",Electronic Contact,,No
I18N_EMAIL,I18NCode for Email label,Email,,No
I18N_EMAIL_IS_REQUIRED,I18NCode for Email Is Required,Email is a required field,,No
I18N_EMAIL_SENT_SUCCESSFULLY,I18NCode for Email Sent Successfully,Email sent successfully!,,No
I18N_EMPTY_TEAM,I18NCode for Empty Team,Empty Team,,No
I18N_EMPTY_TRANSLATIONS,No translations available for the selected item.,No translations available for the selected item.,,No
I18N_ENABLE_CALCULATIONS,I18NCode for Enable Calculations,Enable Calculations,,No
I18N_END_DATE,I18NCode for End Date,End Date,,No
I18N_END_DATE_IS_REQUIRED,I18NCode for  End Date is required,End date is required,,No
I18N_ENTER_YOUR_EMAIL_TO_RESET_YOUR_PASSWORD_,"I18NCode for Enter your email to reset your password.
",Enter your email to reset your password,,No
I18N_ENTREPRISE,I18NCode for hidden row in Upcoming Renewels Page,Company,,No
I18N_EQUAL,I18NCode for Equal,Equal,,No
I18N_ERROR,I18NCode for Error,Error,,No
I18N_ERROR_PROCESSING_REQUEST,I18NCode for Error Processing Request,Erros processing your request,,No
I18N_EVENT_NAME,18NCode for Event Name,Event Name,,No
I18N_EVOLUCAO,I18NCode for Evolution,Evolution,,No
I18N_EVOLUTION_REPORT,I18NCode for Evolution Report,Evolution Report,,No
I18N_EVOLUTIONS,I18NCode for Evolution page title,Evolutions,,No
I18N_EXCLUDED,I18NCode for Excluded,Excluded,,No
I18N_EXECUTIVE_DIRECTOR,I18NCode for Executive Director,Executive Director,,No
I18N_EXISTING_REPORTS,I18NCode for Existing Reports,Existing Reports,,No
I18N_EXIT,I18NCode for Exit,Exit,,No
I18N_EXPIRED,I18NCode for Expired Tasks,Expired,,No
I18N_EXPORT,I18NCode for Export,Export,,No
I18N_EXPORT_COPY,I18NCode user for copy  on export dropdown,Copy to clipboard,,No
I18N_EXPORT_CSV,I18NCode user for export as csv on dropdown,Export as CSV,,No
I18N_EXPORT_EVOLUTION_PDF,I18NCode for Export Evolution Pdf Button,Export Evolution PDF,,No
I18N_EXPORT_EXCEL,I18NCode user for export as excel on dropdown,Export as Excel,,No
I18N_EXPORT_GENERAL_REPORT,I18NCode for Export General Report in Notable Networkers Page,Export General Report,,No
I18N_EXPORT_PDF,I18NCode user for export as pdf on dropdown,Export as PDF,,No
I18N_EXPORT_REPORT,I18NCode for label on export dropdown,Export Report,,No
I18N_EXPORT_TRANSLATIONS,I18NCode for Export Translations,Export Translations,,No
I18N_EXTERNAL,I18NCode for External,External,,No
I18N_FAILED_TO_CREATE_ACCOUNT,I18NCode for Failed To Create Account,Failed to create account,,No
I18N_FAILED_TO_RESET_PASSWORD,I18NCode for Failed to reset Password,Failed to reset Password,,No
I18N_FAILED_TO_SEND_EMAIL,I18NCode for Failed To Send Email,Failed to send email,,No
I18N_FALLING_MEMBERS,I18NCode for Falling members,Falling,,No
I18N_FAQ_1,I18NCode for Faq 1,"Chapter President shows as ""N/A"", why?",,No
I18N_FAQ_1_ANSWER,I18NCode for Faq 1 Answer,"When Chapter Leadership name shows as ""N/A"" it means that his/her email was changed. Need to update his/her email on reporting2you",,No
I18N_FAQ_2,I18NCode for Faq 2,Where can I find Chapter Reports?,,No
I18N_FAQ_2_ANSWER,I18NCode for Faq 2 Answer,"Go to Reports Menu click the plus sign (""+"") to open Chapters tree and then click on the chapters name, you will get the list of reports from current month to that chapter.<br/> If you want to get a previous report you should click the ""History"" item in the Chapters list and you will be able to get reports from the past 12 month.",,No
I18N_FAQS,I18NCode for Faqs,Faqs,,No
I18N_FAST__EFFICIENT_AND_PRODUCTIVE,"I18NCode for Fast, Efficient and Productive
","Fast, Efficient and Productive",,No
I18N_FEBRUARY,I18NCode for February,February,,No
I18N_FEE,I18NCode for Fee,Fee,,No
I18N_FILES,I18NCode for Files,Files,,No
I18N_FILL,I18NCode for Fill,Fill,,No
I18N_FILL_CHAPTERS,I18NCode for Fill Chapters,Fill Chapters,,No
I18N_FILTER,I18NCode for Filter,Filter,,No
I18N_FILTER_OPTIONS,I18NCode for Filter Options,Filter options,,No
I18N_FIRST,I18NCode for First,First,,No
I18N_FIRST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for First Members in Traffic Lights,First Members in Traffic Lights,,No
I18N_FIRST_NAME,I18NCode for First Name label,First Name,,No
I18N_FIRST_YEAR_RETAIN,I18NCode for First Year Retain,First Year,,No
I18N_FIRST_YEAR_RETENTION,I18NCode for First Year Retention,First Year Retention,,No
I18N_FLAG,I18NCode for the flag,Flag,,No
I18N_FOLLOW_UP,I18NCode for Follow Up Page in Tasks Menu,Follow Up,,No
I18N_FOR,"i18NCode for ""For""",for,,No
I18N_FOR_SUBSTITUTION,"I18NCode for ""For Substitution""",For Substitution,,No
I18N_FORGOT_PASSWORD_,I18NCode for Forgot Password?,Forgot Password?,,No
I18N_FORMATION,I18NCode for Formation,Formation,,No
I18N_FORMATIONS,I18NCode for Formations,Formations,,No
I18N_FORMATS,I18NCode for Formats,Formats,,No
I18N_FRANCHISE,I18NCode for Franchise,Franchise,,No
I18N_FROM,I18Code for From,From,,No
I18N_FUNCTIONAL_COOKIES,"I18NCode for Functional cookies
",Functional cookies,,No
I18N_FUTURE_RENEWALS,I18NCode for Future Renewals,Future Renewals,,No
I18N_GAME_RESULT,I18NCode for Game Result,Game result for,,No
I18N_GAMES,I18NCode for Games,Games,,No
I18N_GENERATE,I18NCode for Generate,Generate,,No
I18N_GENERATE_TEAMS,I18NCode for Generate Teams,Automatically generate teams,,No
I18N_GET_DEFAULT,I18NCode for Get Default,Get Default,,No
I18N_GIVE_NO_REFERRALS_ON_LAST,I18NCode for Give No Referrals On Last,Give No Referrals On Last,,No
I18N_GIVEN_BUSINESS,I18NCode for Given Business Chart,Given Business,,No
I18N_GIVEN_REFERRALS,I18NCode for Given Referrals Chart,Given Referrals,,No
I18N_GOAL,I18NCode for Goal,Goal,,No
I18N_GOAL_ABREV,I18NCode for Goal,Goal,,No
I18N_GOAL_ABSENTISM_TOOLTIP,I18NCode for Goal Absentism Tooltip,Expected absence at the end of the period (ex: 2.5),,No
I18N_GOAL_CEU_TOOLTIP,I18Ncode for Goal Ceu Tooltip,Chapter Education Units/member/week,,No
I18N_GOAL_CONVERSIONTOOLTIP,I18NCode for Goal ConversionTooltip,Average Conversion (ex: 17.5),,No
I18N_GOAL_ENTRIES_TOOLTIP,I18NCode for Goal Entries Tooltip,Number of expected new members in the period for all the context,,No
I18N_GOAL_EXIT_TOOLTIP,I18NNCode for Goal Exit Tooltip,Number of expected dropouts in the period for all the context,,No
I18N_GOAL_OTO_TOOLTIP,I18NCode for Goal oto Tooltip,1-2-1s/member/month,,No
I18N_GOAL_REFERRALS_TOOLTIP,I18NCode for Goal Referrals Tooltip,Referrals/member/week,,No
I18N_GOAL_RENEWALS,I18NCode for Goal Renewals in graphic,Renewals Goal,,No
I18N_GOAL_RENOVATION_TOOLTIP,I18NCode for Goal Renovation Tooltip,Total submitted renewals at the end of the period,,No
I18N_GOAL_RETENTIONTOOLTIP,Goal RetentionTooltip,Desired Retention at the end of the period (ex: 70),,No
I18N_GOAL_SIZE_TOOLTIP,I18NCode for Goal Size Tooltip,Expected Average Chapter size at the end of the period,,No
I18N_GOAL_TRACKING,I18NCode for Goal Tracking,Goal Tracking,,No
I18N_GOAL_TYFCB_TOOLTIP,I18NCode for Goal TYFCB Tooltip,Thank You For Closed Business,,No
I18N_GOAL_VISITS_TOOLTIP,I18NCode for Goal Visits Tooltip,Visitors/chapter/week,,No
I18N_GOALS,,Goals,,No
I18N_GREATER_THAN_OR_EQUAL_TO_0,I18NCode for Greater Than Or Equal To 0,Greater than or equal to 0,,No
I18N_GREATER_THAN_OR_EQUAL_TO_2_FAULTS,I18NCode for Greater than or equal to 2 faults,greater than or equal to 2 faults,,No
I18N_GREEN,I18NCode for Green,Green,,No
I18N_GREEN_LABEL_INFO,I18NCode for Green Label Info,new members that reached Green,,No
I18N_GRN,I18NCode for #Grn on table label,#Grn,,No
I18N_GROUP,I18NCode for Group,Group,,No
I18N_GROUP_CHAT,I18NCode for Group Chat,Group chat,,No
I18N_GROUP_CHATS_ONLY,"I18NCode for Group chats only
",Group chats only,,No
I18N_GROUP_MECHANISMS,I18NCode for Group Mechanisms Page,Chapter Mechanisms,,No
I18N_GROUP_MEMBERS,I18NCode for Group Members,Group members,,No
I18N_GROUPS,,Chapters,,No
I18N_GROW,I18NCode for Grow.,Grow.,,No
I18N_GROWTH,I18NCode for Growth,Growth,,No
I18N_GROWTH_TRACKING_MECHANISMS,I18NCode for Growth Tracking Mechanisms,Growth Tracking Mechanisms,,No
I18N_GRY,I18NCode for #Gry on table label,#Gry,,No
I18N_HAS_DEFINED_GOALS,"I18Ncode for Has defined goals
",with defined goals,,No
I18N_HAS_FINANCIAL_DATA,I18NCode for Has Financial Data,Has Financial Data,,No
I18N_HAS_GOAL,I18NCode for Has Goal,Has Goal,,No
I18N_HAVE_YOU_ALREADY_RESET_THE_PASSWORD,I18NCode for Have You Already Reset The Password,Have you already reset the password?,,No
I18N_HELP,I18NCode for Help,Help,,No
I18N_HELP_RESIZE_IMAGE_MODAL,"I18NCode for Drag to position, use the corners to resize the cropping area.
","Drag to position, use the corners to resize the cropping area.",,No
I18N_HIDE_FROM_REPORT,I18NCode for Hide From Report,Hide From Report,,No
I18N_HOST_TEAM,I18NCode for Host Team,Host Team,,No
I18N_HOW,I18NCode for How,How,,No
I18N_HOW_CAN_I_SETUP_TASKS_IN_REPORTING2YOU_AND_AUTOMATE_ZERO_TO_ONE_TASK,I18NCode for How can I setup Tasks in Reporting2You and automate Zero-To-One Task,How can I setup Tasks in Reporting2You and automate Zero-To-One Task,,No
I18N_HOW_DO_I,I18NCode for How do i,How do i...,,No
I18N_HOW_DO_WE_PROTECT_YOUR_INFORMATION,I18NCode for How do we protect your information,How do we protect your information?,,No
I18N_HOW_LONG_WILL_YOUR_INFORMATION_BE_HELD,I18NCode for How long will your information be held,How long will your information be held?,,No
I18N_HOW_THIS_INFORMATION_IS_USED,I18NCode for How this information is used,How this information is used?,,No
I18N_HOW_TO_IMPROVE,I18NCode for How to Improve,How do i improve,,No
I18N_I_M_NEW_IN_REPORTING2YOU__IS_THERE_ANY_QUICK_OVERVIEW,I18NCode for I'm new in Reporting2You! Is there any quick overview,I'm new in Reporting2You! Is there any quick overview,,No
I18N_I18N_DESCRIPTION_IS_VERY_USEFUL,I18NCode for I18n Description is very Useful,Description is very useful,,No
I18N_I18N_WITH_HISTORY_,I18NCode for With History ,History,,No
I18N_I18N_ZEROREF_W,I18NCode for ZeroREF/week,ZeroREF/W,,No
I18N_I18NCODES,I18NCodes for I18NCodes,I18N Codes,,No
I18N_ICON,I18NCode for Icon,Icon,,No
I18N_IGNORED,I18NCode to Ignored,Ignored,,No
I18N_IMAGE_GAME,I18NCode for Image Game,Image Game,,No
I18N_IMAGE_UPLOAD_ERROR,I18NCode for Image Upload Error,Error submitting image.,,No
I18N_IMAGE_UPLOAD_SUCCESS,I18NCode for Image Upload Success,Image submitted successfully.,,No
I18N_IMPERSONATION_MODE,I18NCode for Impersonation Mode,Impersonation Mode,,No
I18N_IMPLEMENT_A_BNI_GAME,I18NCode for Implement a BNI Game,Implement a BNI Game,,No
I18N_IMPLEMENT_GAME_NOTE,I18NCode for Implement Game Note,"Note:To configure this report to be sent to members, or Directors you need to go to Regional Administration -> Regional Settings and at the Reports section set who do you want to receive the BNI Game report.<br/>
After this, a report will be generated every Monday for each active BNI Game in your region.",,No
I18N_IMPORT_TRANSLATIONS,I18NCode for Import Translations,Import Translations,,No
I18N_IMPROVE,I18NCode for Improve,To improve,,No
I18N_IN,I18NCode for In,In,,No
I18N_IN_THE_LAST,I18NCode for In the Last,In the last,,No
I18N_IN_THE_LASTS,I18NCode for In the Last,In the last,,No
I18N_IN_THIS_DATE_RANGE_,"I18NCode for in this date range.
",in this date range.,,No
I18N_INACTIVE,I18NCode for Inactive,Inactive,,No
I18N_INACTIVITY_NOTICE,"I18NCode for Inactivity Notice
",Inactivity notice,,No
I18N_INCOMPLETE_DOWNLOAD,"I18NCode for Incomplete download
",Incomplete download,,No
I18N_INDICATORS,I18NCode for Indicators,Indicators,,No
I18N_INDUSTRY,I18NCode for Industry,Industry,,No
I18N_INITIAL_COUNT,I18NCode for Initial Count,Initial Count,,No
I18N_INITIATE_A_POLL,i18NCode for Initiate a Poll,Initiate a poll,,No
I18N_INSERT_CODE,I18NCode for I18N name placeholder on modals	,Fill Code with I18N,,No
I18N_INSERT_CONTEXT,I18NCode for Context name placeholder on modals	,Enter a name for the new module type,,No
I18N_INSERT_CONTEXT_DESCRIPTION,I18NCode for description placeholder modals	,Fill in the name of the new context,,No
I18N_INSERT_DESCRIPTION,I18NCode for I18N description placeholder on modals	, Fill with the I18NCode description,,No
I18N_INSERT_DROP_FILES_TASK,I18NCode for the dropzone in task's modal,Drop the files here,,No
I18N_INSERT_LANGUAGE_DESCRIPTION,I18NCode for language description placeholder modals	,Fill in the description of the new language,,No
I18N_INSERT_LANGUAGE_NAME,I18NCode for language name placeholder modals	,Fill in the language  of the new language,,No
I18N_INSERT_LANGUAGE_SHORTNAME,I18NCode for shortname placeholder modals	,Fill in the shortname of the new language,,No
I18N_INSERT_MECHANISMS,I18NCode for Insert Mechanisms,Insert Mechanisms,,No
I18N_INSERT_MODULE,I18NCode for module name placeholder on modals, Fill in the name of the new module,,No
I18N_INSERT_MODULE_DESCRIPTION,I18NCode for description placeholder modals,Enter a name for the new module type,,No
I18N_INSERT_PROFILE_DESCRIPTION,I18NCode for Insert Profile Description,Insert Profile Description,,No
I18N_INSERT_PROFILE_NAME,I18NCode for Insert Profile Name,Insert Profile Name,,No
I18N_INSERT_TASK_DESCRIPTION,I18NCode for insert description in task's modal,Enter a Description,,No
I18N_INSERT_TRANSLATION_DESCRIPTION,I18NCode for translation description placeholder modals,Fill with the language description,,No
I18N_INTERNAL,I18NCode for Internal,Internal,,No
I18N_INVALID_CREDENTIALS,I18NCode for Invalid Credentials,Invalid credentials,,No
I18N_INVALID_OR_EXPIRED_TOKEN,I18NCode for Invalid Or Expired Token,Invalid or Expired token,,No
I18N_INVALID_TOKEN_,I18NCode for Invalid Token, <strong>Invalid Token!</strong> The token provided is invalid.,,No
I18N_INVALID_USER_DATA,I18NCode for Invalid User Data,Invalid user data,,No
I18N_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for Is Reporting2You GDPR Compliant,Is Reporting2you GDPR compliant,,No
I18N_IT_WAS_NOT_POSSIBLE_TO_LOAD_THE_MEMBERS,I18NCode for It was not possible to load the members,It was not possible to load the members,,No
I18N_JANUARY,I18NCode for January,January,,No
I18N_JOIN_DATE,"I18NCode for Join Date
",Join Date,,No
I18N_JULY,I18NCode for July,July,,No
I18N_JUNE,I18NCode for June,June,,No
I18N_KEY_METRICS,I18NCode for Key metrics,Key metrics,,No
I18N_KINDLY_SUGGEST_THAT,I18NCode for Kindly suggest that,Kindly suggest that,,No
I18N_KPI,I18NCode for KPI's,Kpi's,,No
I18N_KPI_CORRELATION,I18NCode for KPI Correlation,Kpi Correlation,,No
I18N_KPI_EVOLUTION,I18NCode for Kpi Evolution,KPI Evolution,,No
I18N_KPI_GAME,I18NCode for Kpi Game,Kpi Game,,No
I18N_KPI_GAME_BNI,I18NCode for KPI Game BNI,KPI Game KPIS,,No
I18N_KPI_SINGULAR,I18NCode for Kpi in singular,Kpi,,No
I18N_L,I18NCode for L,L,,No
I18N_LANGUAGE,I18NCode for the language name 	,Language,,No
I18N_LANGUAGE_DESCRIPTION,I18NCode for language description,Description,,No
I18N_LANGUAGES,I18NCodes for Languages,Languages,,No
I18N_LAST,I18NCode for Last,Last,,No
I18N_LAST_6_MONTHS,I18NCode for Last 6 Months,Last 6 Months,,No
I18N_LAST_CLOSED_MONTH,I18NCode for Last Closed Month,Last Closed Month,,No
I18N_LAST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Last Members In Traffic Lights,Last Members in Traffic Lights,,No
I18N_LAST_MONTH,I18CodeN for last month,Last month:,,No
I18N_LAST_NAME,I18NCode for Last Name label,Last Name,,No
I18N_LAST_NEW_MEMBER,I18NCode for Last New Member,Last New Member,,No
I18N_LAST_SPONSORSHIP,I18NCode for Last Sponsorship,Last Sponsorship,,No
I18N_LAST_SUBMITED_PALMS,I18NCode for Last submitted PALMS:,Last submitted PALMS,,No
I18N_LAST_UPDATE,I18NCode for Last Update,Last Update,,No
I18N_LAST12MONTS,I18NCode for Last12Months,Last 12 Months ::,,No
I18N_LASTMONTH_MENU,I18NCode for Last Month Side Bar Menu,Last Month,,No
I18N_LATE,I18NCode for Late,Late,,No
I18N_LATEST_REPORTS_RECEIVED,Latest Reports Received,Latest Reports Received,,No
I18N_LAUNCH,I18NCode for Launch,Launch,,No
I18N_LAUNCH_DATE,I18NCode for Launch Date,Launch Date,,No
I18N_LEADERSHIP_TEAM,I18NCode for Leadership Team,Leadership Team,,No
I18N_LEADERSHIP_TEAM_TRAFFIC_LIGHTS,"I18NCode for ""Leadership Team (LT) Traffic Lights""",Leadership Team (LT) Traffic Lights,,No
I18N_LEAVING,I18NCode for Exiting,Leaving,,No
I18N_LENGTH_YEARS,I18NCode for Length(Years),Length (Years),,No
I18N_LEVEL,I18NCode for Level,Level,,No
I18N_LOADING,I18NCode for Loading,Loading...,,No
I18N_LOADING_WARNING_MESSAGE,I18NCode for Loading Warning Message,"Attention!!! This procedure may take a considerable amount of time depending on the number of members, chapters and time interval.",,No
I18N_LOCATION___DETAILS,I18NCode for Location & Details,Location & details,,No
I18N_LOG_IN_TO_REPORTING2YOU,"I18NCode for Log In to Reporting2You
",Log In to Reporting2You,,No
I18N_LOG_OUT,I18NCode for Log Out,Logout,,No
I18N_LOGIN_FAILED,I18NCode for Login Failed,Login Failed,,No
I18N_LOGIN_WITH_EMAIL,"I18NCode for Login with email
",Login with email,,No
I18N_LT,I18NCode for LT,LT,,No
I18N_LT_SUSPEND_MEMBERSHIP,I18NCode for LT Suspend Membership,LT Suspend membership,,No
I18N_LT_SUSPEND_MEMBERSHIP_LABEL,I18NCode for LT Suspend Membership Label,Activate LT membership suspension,,No
I18N_LT_TRAFFIC_LIGHTS_SCORING_METHOD,"I18NCode for ""LT Traffic Lights Scoring Method""",LT Traffic Lights Scoring Method,,No
I18N_M,I18NCode for M,M,,No
I18N_MANAGE,I18NCode for manage.,Manage,,No
I18N_MANAGE_CHAPTER_GOALS,I18NCode for Manage Chapter Goals,Manage Chapter Goals,,No
I18N_MANAGE_COUTRY_GOALS,I18NCode for Manage Coutry Goals,Manage Country Goals,,No
I18N_MANAGE_DIRECTOR_GOALS,I18NCode for Manage Director Goals,Manage Director Goal,,No
I18N_MANAGE_MULTIREGION_GOALS,I18NCode for Manage MultiRegion Goals,Manage Multiregion Goals,,No
