Code,Description,Default_Translation (en-en),Target_Translation (lv-lv),Has_Translation
I18N_ABBREVIATION,I18NCode for Abbreviation,Abbreviation,Saīsinājums,Yes
I18N_ABS,I18NCode for ABS shortName,ABS.,ABS.,Yes
I18N_ABSENCE,I18NCode for Absence,Absence,Prombūtne,Yes
I18N_ABSENCE_IS_REQUIRED,I18NCode for Absence is required,Absence is required,Nepieciešama prombūtne,Yes
I18N_AC,I18NCode for #AC,#AC,#AC,Yes
I18N_AC_NONEWMEMBERS_45_DAYS,I18NCode for Active Chapters with no New Members in the last 45 days,Active Chapters with no New Members in the last 45 days,Aktīvās nodaļas bez jauniem dalībniekiem pēdējo 45 dienu laikā,Yes
I18N_ACCOUNT_CREATED_SUCCESSFULLY,I18NCode for Account Created Successfully,Account created successfully,Konts veiksmīgi izveidots,Yes
I18N_ACTION,I18NCode for Action (Url),Action,Darbība,Yes
I18N_ACTIONS,,Actions,Darbības,Yes
I18N_ACTIVATION_DATE,I18NCode for task's activation date,Activation Date,Aktivizācijas datums,Yes
I18N_ACTIVE,I18NCode for Active,Active,Aktīvs,Yes
I18N_ACTIVE_CHAPTER,I18NCode for Active Chapter Caption,Active Chapters,Aktīvās nodaļas,Yes
I18N_ACTIVE_CHAPTER_NO_NEW_MEMBER,I18NCode for Active Chapter No New Member,Active Chapter No New Member,Aktīva nodaļa Nav jaunu dalībnieku,Yes
I18N_ACTIVE_CHAPTERS,I18NCode for Active Chapters,Active,Aktīvs,Yes
I18N_ACTIVE_CHAPTERS_IS_REQUIRED,I18NCode for Active chapters is required,Active chapers is required,Nepieciešami aktīvi pavadoņi,Yes
I18N_ACTIVE_MEMBERS,I18NCode for Active Members,Active Members,Aktīvie dalībnieki,Yes
I18N_ACTIVE_MEMBERS_IS_REQUIRED,I18NCode for Active members is required,Active members is required,Aktīvie dalībnieki,Yes
I18N_ACTIVE_MEMBERSHIP,I18NCode for Active Membership,Active Membership,Aktīva dalība,Yes
I18N_ACTIVE_TASKS,I18NCode for Active Tasks,Activate Tasks,Aktivizējiet uzdevumus,Yes
I18N_ACTIVE_TASKS_DESCRIPTION,I18NCode for Active Tasks Description,Activate tasks in the system,Aktivizējiet uzdevumus sistēmā,Yes
I18N_ACTIVE_ZERO_TO_ONE,I18NCode for Active Zero To One,Activate Zero-to-Ones,Aktivizējiet nulles pret vienu,Yes
I18N_ACTIVE_ZERO_TO_ONE_DESCRIPTION,I18NCode for Active Zero To One Description,Activate Zero-to-One's in the system,Sistēmā aktivizējiet nulles pret vienu,Yes
I18N_ACTIVITIES,I18NCode for Activities,Activities,Darbības,Yes
I18N_ACTUAL_VS_PREVIOUS,I18NCode for Actual vs Previous,Current vs previous,Pašreizējais pret iepriekšējo,Yes
I18N_AD,I18NCode for AD,AD,AD,Yes
I18N_ADD_A_PROFILE_PICTURE_TO_HELP_WITH_MEMBER_IDENTIFICATION,I18NCode for add a profile picture to help with member identification,add a profile picture to help with member identification,"pievienojiet profila attēlu, lai palīdzētu identificēt dalībnieku",Yes
I18N_ADD_AS,I18NCode for Add as,Add as,Pievienot kā,Yes
I18N_ADD_BNI_GAME,I18NCode for Bni Game,Add Bni Game,Pievienot Bni spēli,Yes
I18N_ADD_CODEI18N,I18NCode to add a new I18NCode,Add Code,Pievienot kodu,Yes
I18N_ADD_CONTEXT,I18NCode to add a new context,Add Context,Pievienot kontekstu,Yes
I18N_ADD_DIRECTOR,I18NCode for Add Director in Users Page,Add Director,Pievienot direktoru,Yes
I18N_ADD_GOAL,I18NCode for Add Goal,Add Goal,Pievienot mērķi,Yes
I18N_ADD_KPI,I18NCode for Add Kpi,Add KPI,Pievienojiet KPI,Yes
I18N_ADD_LANGUAGE,I18NCode to add a new language,Add Language,Pievienot valodu,Yes
I18N_ADD_MECHANISM,I18NCode for Add Mechanism,Add Mechanism,Pievienot mehānismu,Yes
I18N_ADD_MEMBER_TO_THE_GROUP,I18NCode for Add Member to the group,Add Member to the group,Pievienot dalībnieku grupai,Yes
I18N_ADD_MEMBERS_TO_FORM_THE_TEAM,I18NCode for Add members to form the team,Add members to form the team,"Pievienojiet dalībniekus, lai izveidotu komandu",Yes
I18N_ADD_MODULE,I18NCode to add a new Module,Add Module,Pievienot moduli,Yes
I18N_ADD_NEW_MENU,I18NCode for Add New Menu,Add Menu,Pievienot izvēlni,Yes
I18N_ADD_NEW_REGISTRY,I18NCode for Add New Registry,Add New Registry,Pievienot jaunu reģistru,Yes
I18N_ADD_PROFILE,I18NCode for Add Button in Profiles Page,Add Profile,Pievienot profilu,Yes
I18N_ADD_TEAM,I18NCode for Add Team,Add Team,Pievienot komandu,Yes
I18N_ADDRESS,I18NCode for Address,Address,Adrese,Yes
I18N_ADDRESS_AND_ZIP_CODE,"I18NCode for Address and zip code
",Address and zip code,Adrese un pasta indekss,Yes
I18N_ADMIN,I18NCode for admin,Admin,Administrators,Yes
I18N_ADVANCED_DASHBOARD,I18NCode for Advanced Dashboard,Advanced Dashboard,Papildu informācijas panelis,Yes
I18N_ADVANCED_SEARCH,"i18NCode for Advanced search
",Advanced search,Izvērstā meklēšana,Yes
I18N_ALERT,I18NCode for Alert,Alert,Brīdinājums,Yes
I18N_ALERT_REPORT,I18NCode for Alert Report,Alerts Report,Brīdinājumu pārskats,Yes
I18N_ALERT_TYPE,I18NCode for Alert Type,Alert Type,Brīdinājuma veids,Yes
I18N_ALERTS_LIST,I18Ncode for Alerts List,Alerts List,Brīdinājumu saraksts,Yes
I18N_ALL,I18NCode for ALL ,All,Visi,Yes
I18N_ALL_CHAPTERS,I18NCode for All Chapters,All Chapters,Visas nodaļas,Yes
I18N_ALL_DDL,I18NCode for All on DDL,All,Visi,Yes
I18N_ALL_MEMBERS_ADDED,I18NCode for All Members Added ,All members have already been added to the team.,Visi dalībnieki jau ir pievienoti komandai.,Yes
I18N_ALL_TRANSLATIONS,I18NCode for all translations label,All Translations,Visi tulkojumi,Yes
I18N_ALLOW_BCC_SUBMISSIONS,I18NCode for Allow BCC Submissions label,Allow sending with Bcc,Atļaut sūtīšanu ar Bcc,Yes
I18N_ALLOW_EMAIL_SUBMISSIONS,I18NCode for Allow Email Submissions label,Allow email submissions,Atļaut iesniegšanu pa e-pastu,Yes
I18N_ALLOW_FOR,I18NCode for Allow For,Allow for,Atļaut par,Yes
I18N_ALLOW_USERS_TO_VOTE_ON_MORE_THAN_ONE_OPTION,I18NCode for Allow users to vote on more than one option.,Allow users to vote on more than one option,Ļaujiet lietotājiem balsot par vairāk nekā vienu opciju,Yes
I18N_ALLOWED_NUMBER_OF_FILES_ERROR_MESSAGE,I18NCode for Allowed Number Of Files Error Message,Only up to 2 files may be uploaded!,Var augšupielādēt ne vairāk kā 2 failus!,Yes
I18N_AM,I18NCode for #AM,#AM,#AM,Yes
I18N_AMB,I18NCode for AMB,AMB,AMB,Yes
I18N_AMBASSADOR,I18NCode for Ambassador,Ambassador,Vēstnieks,Yes
I18N_AMBASSADORS_TOTAL,I18NCode for Ambassadors Total,Ambassadors,Vēstnieki,Yes
I18N_AN_ERROR_OCCURRED,I18NCode for An Error Occurred,An Error occurred,Radās kļūda,Yes
I18N_ANALYTICAL_COOKIES,"I18NCode for Analytical cookies
",Analytical cookies,Analītiskie sīkfaili,Yes
I18N_ANSWER_ANALYTICAL_COOKIES,"I18NCode for Analytical cookies
","These cookies make it possible to examine the use and the performance of the site and to improve its operation by carrying out analyses of visits to the information pages, by monitoring the open rates, the click rates and the bounce rates at the individual level.","Šīs sīkdatnes ļauj pārbaudīt vietnes izmantošanu un veiktspēju un uzlabot tās darbību, veicot informācijas lapu apmeklējumu analīzi, uzraugot atvēršanas rādītājus, klikšķu skaitu un atlēcienu līmeni individuālā līmenī.",Yes
I18N_ANSWER_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,"For complementary information not included in this privacy policy, or to exercise any your rights, you can contact our Data Protection Officer by email at","Lai iegūtu papildu informāciju, kas nav iekļauta šajā privātuma politikā, vai izmantotu savas tiesības, varat sazināties ar mūsu datu aizsardzības speciālistu pa e-pastu uz",Yes
I18N_ANSWER_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER_2,I18NCode for ANSWER CONTACT DETAILS OF OUR_DATA PROTECTION OFFICER 2,"If you are not satisfied with us, you have the right to lodge a complaint with <strong>Portugal’s Supervisory Authority</strong> at","Ja neesat apmierināts ar mums, jums ir tiesības iesniegt sūdzību <strong>Portugāles uzraudzības iestādei</strong> plkst.",Yes
I18N_ANSWER_COOKIE_MANAGEMENT,I18NCode for Cookie management,"Users can accept or reject cookies on the site or refuse them once and for all through their browser settings. If the User chooses to refuse all cookies, navigation onto certain pages of the site will be reduced.

Depending on the browser used by Users, the methods for deleting cookies are as follows:","Lietotāji var pieņemt vai noraidīt sīkfailus vietnē vai vienreiz un uz visiem laikiem atteikties no tiem, izmantojot pārlūkprogrammas iestatījumus.",Yes
I18N_ANSWER_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
","Cookies are placed on the User’s terminal for a maximum period of 13 months from the date of the User’s consent. After this period, consent will be re-obtained.",Sīkdatnes tiek ievietotas Lietotāja terminālī ne ilgāk kā 13 mēnešus no Lietotāja piekrišanas dienas.,Yes
I18N_ANSWER_FOR_HOW_THIS_INFORMATION_IS_USED,I18NCode for How this information is used,"Your personal data is used exclusively to generate reports sent to you, your chapter members, your chapter Director Consultant, chapter Area Director Consultant, Regional Executive Director or your chapter Ambassador. We also use your personal data at <strong>Reporting2You</strong> website on which only BNI Directors and authorized personnel have access.","Jūsu personas dati tiek izmantoti tikai, lai izveidotu ziņojumus, kas nosūtīti jums, jūsu nodaļas locekļiem, nodaļas direktora konsultantam, nodaļas rajona direktora konsultantam, reģiona izpilddirektoram vai jūsu nodaļas vēstniekam.",Yes
I18N_ANSWER_FUNCTIONAL_COOKIES,"I18NCode for Functional cookies
",These cookies make it possible to personalise the User experience.,Šīs sīkdatnes ļauj personalizēt Lietotāja pieredzi.,Yes
I18N_ANSWER_HOW_ANISETUPTASKSINR2YANDAUTOMATEZEROTOONETASK,I18NCode for Answer How anISetupTasksInR2YAndAutomateZeroToOneTask,"Starting in January 1st, 2020, Reporting2You can automatically generate tasks for directors so they can implement Zero-To-One procedure to increase Retention.<br/>
Please watch this video to understand what a Zero-To-One is, who to use it and how to setup Tasks inside Reporting2You.","Sākot ar 2020. gada 1. janvāri, Reporting2You var automātiski ģenerēt uzdevumus direktoriem, lai viņi varētu ieviest nulles pret vienu procedūru, lai palielinātu saglabāšanu.<br/>",Yes
I18N_ANSWER_HOW_DO_WE_PROTECT_YOUR_INFORMATION,I18NCode for How do we protect your information,"We have taken all steps necessary to protect the information in our systems. We utilize encryption (for communication and storage) and security software to safeguard the confidentiality of personal information we process from unauthorized access or disclosure and accidental loss, alteration or destruction. We also perform regular tests to our infrastructure and systems in order to identify security vulnerabilities.

If you have access to Reporting2You website, remember that your account is protected in part by your password. It is important that you protect and maintain your account security and that you tell us immediately of any unauthorized use of your account.","Mēs esam veikuši visus nepieciešamos pasākumus, lai aizsargātu mūsu sistēmās esošo informāciju.",Yes
I18N_ANSWER_HOW_LONG_WILL_YOUR_INFORMATION_BE_HELD,I18NCode for How long will your information be held,"Your information will be kept in our system while you are a BNI Member, Director or Ambassador and up to 2 years after the termination of this relationship.","Jūsu informācija tiks glabāta mūsu sistēmā, kamēr esat BNI biedrs, direktors vai vēstnieks un līdz 2 gadiem pēc šo attiecību pārtraukšanas.",Yes
I18N_ANSWER_IMNEWINREPORTING2YOUISTHEREANYQUICKOVERVIEW,"I18NCode for Answer ImNewInReporting2YouIsThereAnyQuickOverview

","If you are starting using Reporting2You, you should start with this video","Ja sākat lietot Reporting2You, sāciet ar šo videoklipu",Yes
I18N_ANSWER_IMPLEMENT_GAME,I18NCode for Answer Implement Game,"From now on you can easily implement a BNI Game in your chapters and forget about all the administrative work that you, your Directors or your leadership teams would have to make it happen.<br/>
Please watch this video and learn how to use it.","No šī brīža savās nodaļās varat viegli ieviest BNI spēli un aizmirst par visu administratīvo darbu, kas jums, jūsu direktoriem vai vadības komandām būtu jāveic, lai tas notiktu.<br/>",Yes
I18N_ANSWER_ON_FIREFOX,"Answer On Firefox
","<li>Click on the Browser Tools icon, select the Options menu.</li>
<li>In the window that appears, choose “Privacy” and click on ""Display cookies"".</li>
<li>Select the cookies to refuse and click on delete.</li>","<li>Noklikšķiniet uz pārlūkprogrammas rīku ikonas, atlasiet izvēlni Opcijas.</li>",Yes
I18N_ANSWER_ON_GOOGLE_CHROME,I18NCode for Answer On Google Chrome,"<li>Click on the Tools icon, select the Options menu then click the Advanced Options tab.</li>
<li>And access the “Confidentiality” section.</li>
<li>Click on the “Show Cookies” button.</li>
<li>Select the cookies to refuse and click on delete.</li>","<li>Noklikšķiniet uz ikonas Rīki, atlasiet izvēlni Opcijas un pēc tam noklikšķiniet uz cilnes Papildu opcijas.</li>",Yes
I18N_ANSWER_ON_INTERNET_EXPLORER,i18NCode for Answer On Internet Explorer,"<li>Click the Tools button, then Internet Options.</li>
<li>Under the General tab, under Navigation History, click Settings.</li>
<li>Click the Show Files button.</li>
<li>Select the cookies to refuse and click on delete.</li>",<li>Noklikšķiniet uz pogas Rīki un pēc tam uz Interneta opcijas.</li>,Yes
I18N_ANSWER_ON_SAFARI,i18NCode for Answer on Safari,"<li>Click the Edit icon, select the Preferences menu.</li>
<li>Click on Security and then on Show cookies.</li>
<li>Select the cookies to refuse and click on delete.</li>","<li>Noklikšķiniet uz ikonas Rediģēt, atlasiet izvēlni Preferences.</li>",Yes
I18N_ANSWER_SHARING_BUTTON_COOKIES,I18NCode for Answer Sharing button cookies,These social cookies allow users to share pages and content on third-party social networks via social sharing buttons.,"Šīs sociālās sīkdatnes ļauj lietotājiem koplietot lapas un saturu trešo pušu sociālajos tīklos, izmantojot sociālās kopīgošanas pogas.",Yes
I18N_ANSWER_THE_COOKIES_NECESSARY_FOR_NAVIGATION_ON_THE_SITE,I18NCode for Answer The cookies necessary for navigation on the site,"These cookies are necessary for the functioning of the site. They allow the main features of the site to be used. Without these cookies, Users cannot use the site normally.",Šīs sīkdatnes ir nepieciešamas vietnes darbībai.,Yes
I18N_ANSWER_WHAT_ARE_YOUR_RIGHTS,I18NCode for What are your rights,"You have the right to access your data and that your personal data is always kept up to date. Also, you have the right to ask for us to erase all your data if you think this is in your best interest. Additionally, you have the right to withdraw your consent, in which case we will stop processing your data, meaning that your name will not be visible at any report nor at reporting2you website.

To exercise any of your rights, you may contact our Data Protection Officer, identified in the end of this policy.",Jums ir tiesības piekļūt saviem datiem un jūsu personas dati vienmēr tiek atjaunināti.,Yes
I18N_ANSWER_WHAT_INFORMATION_DO_WE_COLLECT_ABOUT_YOU,I18NCode for Answer What information do we collect about you,"<p>To be able to provide our services, we download from BNI Connect the following information about you:</p>

<ul>
  <li>
    First and Last Name, Company Name, Profession, Email, Telephones, BNI Role, Join Date, Renewal Date, weekly PALMS records, Membership activity and Training Attendance (if applicable in your region or chapter).
  </li>
  <li>
    If you have access to the Reporting2You website (only BNI Directors or authorized personnel), we also collect, by automatic means and through the use of the <strong>Reporting2You</strong> website, the following information: Cookies (with your authorization on the website) and Analytics (with IP anonymization).
  </li>
</ul>
","<p>Lai varētu sniegt savus pakalpojumus, mēs no BNI Connect lejupielādējam šādu informāciju par jums:</p>",Yes
I18N_ANSWER_WHAT_IS_OUR_LEGAL_BASIS_FOR_PROCESSING_YOUR_PERSONAL_DATA,I18NCode for What is our legal basis for processing your personal data,"We have a formal agreement with the your BNI Franchisee, which authorizes us to collect your data from BNI Connect. We process data with your consent under Article 6 1(a) of the General Data Protection Regulation.","Mums ir oficiāls līgums ar jūsu BNI franšīzes ņēmēju, kas pilnvaro mūs vākt jūsu datus no BNI Connect.",Yes
I18N_ANSWER_WHO_ARE_WE,i18NCode for Answer Who Are We,"<strong>DeepEye</strong> is the organization that develops and maintains the <strong>Reporting2You</strong> application and platform, aimed at giving you tools to achieve high performance and better results from your BNI membership by preparing and sending you reports that help you take decisions and actions to succeed.

We have our office established in Portugal.","<strong>DeepEye</strong> ir organizācija, kas izstrādā un uztur lietojumprogrammu <strong>Reporting2You</strong> un platformu, kuras mērķis ir sniegt jums rīkus, lai sasniegtu augstu veiktspēju un labākus rezultātus no jūsu dalības BNI, sagatavojot un nosūtot jums pārskatus, kas palīdz pieņemt lēmumus un darbības, lai gūtu panākumus.",Yes
I18N_ANSWER_WHO_RECEIVES_YOUR_INFORMATION,I18NCode for Who receives your information,"Only you, members of your chapter, BNI Directors or the Franchisee authorized personnel can receive reports containing your personal information.","Tikai jūs, jūsu nodaļas locekļi, BNI direktori vai franšīzes ņēmēja pilnvarotie darbinieki varat saņemt ziņojumus, kas satur jūsu personisko informāciju.",Yes
I18N_ANSWERDOMEMBERSHAVEACCESSTOR2Y,I18NCode for I18NAnswerDoMembersHaveAccessToR2Y,Members from your region should watch this video.,Dalībniekiem no jūsu reģiona vajadzētu skatīties šo videoklipu.,Yes
I18N_ANWSER_WHAT_IS_A_COOKIE,I18NCode for What is a Cookie,"A cookie is a piece of information placed on the hard drive of Internet users by the server of the site they visit. It contains several pieces of data: the name of the server which installed it, an identifier in the form of a unique number, and possibly an expiry date. This information is sometimes stored on the computer in a simple text file that a server accesses to read and save pieces of information.

The <strong>Reporting2You</strong> uses cookies whose purpose is to facilitate navigation on the site, to execute the service provided by <strong>DeepEye</strong>, to measure the site’s audience or to allow pages on the site to be shared.","Sīkdatne ir informācijas daļa, ko interneta lietotāju cietajā diskā ievieto viņu apmeklētās vietnes serveris.",Yes
I18N_APPLICATION_DATE_,I18NCode for Application Date	,Application Date,Pieteikšanās datums,Yes
I18N_APPLY,I18NCode for Apply,Apply,Pieteikties,Yes
I18N_APRIL,I18NCode for April,April,aprīlis,Yes
I18N_ARE_YOU_SURE_YOU_WANT_TO_REMOVE_THIS_MEMBER_,I18NCode for Are you sure you want to remove this member?,Are you sure you want to remove this member?,Vai tiešām vēlaties noņemt šo dalībnieku?,Yes
I18N_AREA,I18NCode for Area,Area,Apgabals,Yes
I18N_AREA_DIRECTOR_CONSULTANTS,I18NCode for Area Director Consultants,Area Director Consultants,Teritorijas direktoru konsultanti,Yes
I18N_AREA_DIRECTORS,I18NCode for Area Directors Page ,Area Directors,Teritorijas direktori,Yes
I18N_ARRIVING_TO_GREEN,I18NCode for Arriving to Green,Arriving to green,Ierašanās zaļumā,Yes
I18N_ASSIGNED,I18NCode for Assigned ,Assigned,Piešķirts,Yes
I18N_ATTE,I18NCode for Atte.,Atte.,Atte.,Yes
I18N_ATTENDANCE_6_MONTHS,I18NCode for Attendance 6 Months,Attendance (6 month),Apmeklējums (6 mēneši),Yes
I18N_ATTENDENCE,Attendence,Attendence,Apmeklējums,Yes
I18N_ATTENTION,I18NCode for Attention,Take Care,Uzmanies,Yes
I18N_ATTENTION_COUNTRY,I18NCode for Menu Attention Country,Attention Country,Uzmanību valsts,Yes
I18N_ATTENTION_MULTIREGION,I18NCode for Menu Attention Multiregion,Attention MultiRegion,Uzmanību MultiRegion,Yes
I18N_AUGUST,I18NCode for August,August,augusts,Yes
I18N_AVAILABLE,I18NCode for Available,Available,Pieejams,Yes
I18N_AVAILABLE_MECANISMS,I18NCode for Available Mecanisms,Available Mecanisms,Pieejamie mehānismi,Yes
I18N_AVAILABLE_MEMBERS,I18NCode for Available Members,Available Members,Pieejamie dalībnieki,Yes
I18N_AVERAGE_6AM,I18NCode for average(6 am),average (6 m),vidējais (6 m),Yes
I18N_AVERAGE_CHAPTER_SIZE,I18NCode for Average Chapter Size,Average Size,Vidējais izmērs,Yes
I18N_AVERAGE_POINTS,I18NCode for Average Points,Average points,Vidējie punkti,Yes
I18N_AVERAGE_SIZE,I18NCode for average size,Average Size,Vidējais izmērs,Yes
I18N_AVG,I18NCode for #Grn on table label,Avg,Vid,Yes
I18N_AVG_DAYS,I18NCode for AVG Days,Average Days,Vidējās dienas,Yes
I18N_AVG_POINTS_MEMBER,I18NCode for Avg Points Member,Average points by member,Vidējais punktu skaits pēc dalībnieka,Yes
I18N_BACK_TO_LOGIN,I18NCode for Back to login,Back to login page,Atgriezties uz pieteikšanās lapu,Yes
I18N_BACK_TO_LOGIN_PAGE,I18NCode for Back To Login Page,Back to login page,Atgriezties uz pieteikšanās lapu,Yes
I18N_BASE,I18NCodes for base,Base,Bāze,Yes
I18N_BEST_PRATICES,I18NCode for Best Pratices,Best Pratices,Labākā prakse,Yes
I18N_BEST_PRATICES_CONTENT,I18NCode for BEST PRATICES Content,"<ul class=""m-4"">
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Entry and Exit of Members during the previous month can only take place by 16:00 of the second working day of each month, as the information which will form the basis for the monthly calculation shall be downloaded at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly PALMS reports should be entered by the second working day of each month as Member Traffic Lights will be calculated at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">PALMS reports should be entered during the 48h following the meeting and cannot be more than 4 weeks late, as they will not be considered by Reporting2You;</span>
        </li>
        <li class=""text-primary m-6"">
            <span class=""text-gray-600 fs-6"">
                Members should not be allowed to change their names and if this happens, a notification should be sent to 
                <a href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                   title=""Enviar email para info@reporting2you.com"">
                    info@reporting2you.com
                </a>
                ;
            </span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Groups should not be allowed to change their names and if this happens, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">All Groups should have a Director Consultant and Area Director on BNI Connect</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">In order to use the Core Group report as soon as the director enters the PALMS report on BNI Connect, an e-mail should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Regions using Group goals will have a more detailed weekly report for Leadership Teams, as it will contain the evolution of the 8 Key Success Factors over the last two months and the current month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly Reports shall be calculated at the end of the second working day of each month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Leadership Teams should be up to date by 16:00 of the second working day of April and October. If any changes occur, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">If you want to stop receiving email with the reports, you need to uncheck the “Send emails” at “Regional Administration->Regional Settings->The Region” menu at reporting2you.com;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You should use “Regional Administration->Regional Settings->Reports” menu to set who receives each report;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You must write the word “substitution” in the drop notes, if the drop reason is really for substitute the member.</span>
        </li>
    </ul>",Labākā prakse,Yes
