Code,Description,Default_Translation (en-en),Target_Translation (bg-bg),Has_Translation
I18N_AN_ERROR_OCCURRED,I18NCode for An Error Occurred,An Error occurred,Възникна грешка,Yes
I18N_ANALYTICAL_COOKIES,"I18NCode for Analytical cookies
",Analytical cookies,Аналитични бисквитки,Yes
I18N_ANSWER_ANALYTICAL_COOKIES,"I18NCode for Analytical cookies
","These cookies make it possible to examine the use and the performance of the site and to improve its operation by carrying out analyses of visits to the information pages, by monitoring the open rates, the click rates and the bounce rates at the individual level.","Тези бисквитки позволяват да се изследва използването и ефективността на сайта и да се подобри работата му чрез извършване на анализи на посещенията на информационните страници, чрез наблюдение на честотата на отваряне, честотата на кликване и степента на отпадане на индивидуално ниво.",Yes
I18N_ANSWER_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,"For complementary information not included in this privacy policy, or to exercise any your rights, you can contact our Data Protection Officer by email at","За допълнителна информация, която не е включена в тази политика за поверителност, или за упражняване на правата си, можете да се свържете с нашия служител по защита на данните по имейл на",Yes
I18N_ANSWER_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER_2,I18NCode for ANSWER CONTACT DETAILS OF OUR_DATA PROTECTION OFFICER 2,"If you are not satisfied with us, you have the right to lodge a complaint with <strong>Portugal’s Supervisory Authority</strong> at","Ако не сте доволни от нас, имате право да подадете жалба до <strong>надзорния орган на Португалия</strong> на",Yes
I18N_ANSWER_COOKIE_MANAGEMENT,I18NCode for Cookie management,"Users can accept or reject cookies on the site or refuse them once and for all through their browser settings. If the User chooses to refuse all cookies, navigation onto certain pages of the site will be reduced.

Depending on the browser used by Users, the methods for deleting cookies are as follows:",Потребителите могат да приемат или отхвърлят бисквитките на сайта или да ги отказват веднъж завинаги чрез настройките на своя браузър.,Yes
I18N_ANSWER_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
","Cookies are placed on the User’s terminal for a maximum period of 13 months from the date of the User’s consent. After this period, consent will be re-obtained.",Бисквитките се поставят на терминала на потребителя за максимален период от 13 месеца от датата на съгласието на потребителя.,Yes
I18N_ANSWER_FOR_HOW_THIS_INFORMATION_IS_USED,I18NCode for How this information is used,"Your personal data is used exclusively to generate reports sent to you, your chapter members, your chapter Director Consultant, chapter Area Director Consultant, Regional Executive Director or your chapter Ambassador. We also use your personal data at <strong>Reporting2You</strong> website on which only BNI Directors and authorized personnel have access.","Вашите лични данни се използват изключително за генериране на отчети, изпращани до вас, членовете на вашия клон, консултант на директор на клон, консултант на директор на клон, регионален изпълнителен директор или посланик на вашия клон.",Yes
I18N_ANSWER_FUNCTIONAL_COOKIES,"I18NCode for Functional cookies
",These cookies make it possible to personalise the User experience.,Тези бисквитки правят възможно персонализирането на потребителското изживяване.,Yes
I18N_ANSWER_HOW_ANISETUPTASKSINR2YANDAUTOMATEZEROTOONETASK,I18NCode for Answer How anISetupTasksInR2YAndAutomateZeroToOneTask,"Starting in January 1st, 2020, Reporting2You can automatically generate tasks for directors so they can implement Zero-To-One procedure to increase Retention.<br/>
Please watch this video to understand what a Zero-To-One is, who to use it and how to setup Tasks inside Reporting2You.","От 1 януари 2020 г. Reporting2You може автоматично да генерира задачи за директорите, така че те да могат да прилагат процедура Zero-to-One за увеличаване на задържането.<br/>",Yes
I18N_ANSWER_HOW_DO_WE_PROTECT_YOUR_INFORMATION,I18NCode for How do we protect your information,"We have taken all steps necessary to protect the information in our systems. We utilize encryption (for communication and storage) and security software to safeguard the confidentiality of personal information we process from unauthorized access or disclosure and accidental loss, alteration or destruction. We also perform regular tests to our infrastructure and systems in order to identify security vulnerabilities.

If you have access to Reporting2You website, remember that your account is protected in part by your password. It is important that you protect and maintain your account security and that you tell us immediately of any unauthorized use of your account.",Предприехме всички необходими стъпки за защита на информацията в нашите системи.,Yes
I18N_ANSWER_HOW_LONG_WILL_YOUR_INFORMATION_BE_HELD,I18NCode for How long will your information be held,"Your information will be kept in our system while you are a BNI Member, Director or Ambassador and up to 2 years after the termination of this relationship.","Вашата информация ще се съхранява в нашата система, докато сте член, директор или посланик на BNI и до 2 години след прекратяването на това взаимоотношение.",Yes
I18N_ANSWER_IMNEWINREPORTING2YOUISTHEREANYQUICKOVERVIEW,"I18NCode for Answer ImNewInReporting2YouIsThereAnyQuickOverview

","If you are starting using Reporting2You, you should start with this video","Ако започвате да използвате Reporting2You, трябва да започнете с това видео",Yes
I18N_ANSWER_IMPLEMENT_GAME,I18NCode for Answer Implement Game,"From now on you can easily implement a BNI Game in your chapters and forget about all the administrative work that you, your Directors or your leadership teams would have to make it happen.<br/>
Please watch this video and learn how to use it.","Отсега нататък можете лесно да внедрите BNI игра във вашите глави и да забравите за цялата административна работа, която вие, вашите директори или вашите ръководни екипи ще трябва да направите това.<br/>",Yes
I18N_ANSWER_ON_FIREFOX,"Answer On Firefox
","<li>Click on the Browser Tools icon, select the Options menu.</li>
<li>In the window that appears, choose “Privacy” and click on ""Display cookies"".</li>
<li>Select the cookies to refuse and click on delete.</li>","<li>Щракнете върху иконата Инструменти на браузъра, изберете менюто Опции.</li>",Yes
I18N_ANSWER_ON_GOOGLE_CHROME,I18NCode for Answer On Google Chrome,"<li>Click on the Tools icon, select the Options menu then click the Advanced Options tab.</li>
<li>And access the “Confidentiality” section.</li>
<li>Click on the “Show Cookies” button.</li>
<li>Select the cookies to refuse and click on delete.</li>","<li>Щракнете върху иконата Инструменти, изберете менюто Опции, след което щракнете върху раздела Разширени опции.</li>",Yes
I18N_ANSWER_ON_INTERNET_EXPLORER,i18NCode for Answer On Internet Explorer,"<li>Click the Tools button, then Internet Options.</li>
<li>Under the General tab, under Navigation History, click Settings.</li>
<li>Click the Show Files button.</li>
<li>Select the cookies to refuse and click on delete.</li>","<li>Щракнете върху бутона Инструменти, след това върху Опции за интернет.</li>",Yes
I18N_ANSWER_ON_SAFARI,i18NCode for Answer on Safari,"<li>Click the Edit icon, select the Preferences menu.</li>
<li>Click on Security and then on Show cookies.</li>
<li>Select the cookies to refuse and click on delete.</li>","<li>Щракнете върху иконата за редактиране, изберете менюто с предпочитания.</li>",Yes
I18N_ANSWER_SHARING_BUTTON_COOKIES,I18NCode for Answer Sharing button cookies,These social cookies allow users to share pages and content on third-party social networks via social sharing buttons.,Тези социални бисквитки позволяват на потребителите да споделят страници и съдържание в социални мрежи на трети страни чрез бутони за социално споделяне.,Yes
I18N_ANSWER_THE_COOKIES_NECESSARY_FOR_NAVIGATION_ON_THE_SITE,I18NCode for Answer The cookies necessary for navigation on the site,"These cookies are necessary for the functioning of the site. They allow the main features of the site to be used. Without these cookies, Users cannot use the site normally.",Тези социални бисквитки позволяват на потребителите да споделят страници и съдържание в социални мрежи на трети страни чрез бутони за социално споделяне.,Yes
I18N_ANSWER_WHAT_ARE_YOUR_RIGHTS,I18NCode for What are your rights,"You have the right to access your data and that your personal data is always kept up to date. Also, you have the right to ask for us to erase all your data if you think this is in your best interest. Additionally, you have the right to withdraw your consent, in which case we will stop processing your data, meaning that your name will not be visible at any report nor at reporting2you website.

To exercise any of your rights, you may contact our Data Protection Officer, identified in the end of this policy.",Имате право на достъп до вашите данни и личните ви данни винаги да се поддържат актуални.,Yes
I18N_ANSWER_WHAT_INFORMATION_DO_WE_COLLECT_ABOUT_YOU,I18NCode for Answer What information do we collect about you,"<p>To be able to provide our services, we download from BNI Connect the following information about you:</p>

<ul>
  <li>
    First and Last Name, Company Name, Profession, Email, Telephones, BNI Role, Join Date, Renewal Date, weekly PALMS records, Membership activity and Training Attendance (if applicable in your region or chapter).
  </li>
  <li>
    If you have access to the Reporting2You website (only BNI Directors or authorized personnel), we also collect, by automatic means and through the use of the <strong>Reporting2You</strong> website, the following information: Cookies (with your authorization on the website) and Analytics (with IP anonymization).
  </li>
</ul>
","<p>За да можем да предоставяме нашите услуги, ние изтегляме от BNI Connect следната информация за вас:</p>",Yes
I18N_ANSWER_WHAT_IS_OUR_LEGAL_BASIS_FOR_PROCESSING_YOUR_PERSONAL_DATA,I18NCode for What is our legal basis for processing your personal data,"We have a formal agreement with the your BNI Franchisee, which authorizes us to collect your data from BNI Connect. We process data with your consent under Article 6 1(a) of the General Data Protection Regulation.","Имаме официално споразумение с вашия франчайзополучател на BNI, което ни упълномощава да събираме вашите данни от BNI Connect.",Yes
I18N_ANSWER_WHO_ARE_WE,i18NCode for Answer Who Are We,"<strong>DeepEye</strong> is the organization that develops and maintains the <strong>Reporting2You</strong> application and platform, aimed at giving you tools to achieve high performance and better results from your BNI membership by preparing and sending you reports that help you take decisions and actions to succeed.

We have our office established in Portugal.","<strong>DeepEye</strong> е организацията, която разработва и поддържа приложението и платформата <strong>Reporting2You</strong>, имащи за цел да ви предоставят инструменти за постигане на висока производителност и по-добри резултати от членството ви в BNI, като ви изготвят и изпращат отчети, които ви помагат да вземате решения и действия за успех.",Yes
I18N_ANSWER_WHO_RECEIVES_YOUR_INFORMATION,I18NCode for Who receives your information,"Only you, members of your chapter, BNI Directors or the Franchisee authorized personnel can receive reports containing your personal information.","Само вие, членовете на вашия клон, директорите на BNI или упълномощеният персонал на франчайзополучателя можете да получавате доклади, съдържащи вашата лична информация.",Yes
I18N_ANSWERDOMEMBERSHAVEACCESSTOR2Y,I18NCode for I18NAnswerDoMembersHaveAccessToR2Y,Members from your region should watch this video.,"Само вие, членовете на вашия клон, директорите на BNI или упълномощеният персонал на франчайзополучателя можете да получавате доклади, съдържащи вашата лична информация.",Yes
I18N_ANWSER_WHAT_IS_A_COOKIE,I18NCode for What is a Cookie,"A cookie is a piece of information placed on the hard drive of Internet users by the server of the site they visit. It contains several pieces of data: the name of the server which installed it, an identifier in the form of a unique number, and possibly an expiry date. This information is sometimes stored on the computer in a simple text file that a server accesses to read and save pieces of information.

The <strong>Reporting2You</strong> uses cookies whose purpose is to facilitate navigation on the site, to execute the service provided by <strong>DeepEye</strong>, to measure the site’s audience or to allow pages on the site to be shared.","Бисквитката е част от информацията, поставена на твърдия диск на интернет потребителите от сървъра на посещавания от тях сайт.",Yes
I18N_APPLICATION_DATE_,I18NCode for Application Date	,Application Date,Дата на кандидатстване,Yes
I18N_APPLY,I18NCode for Apply,Apply,Кандидатствайте,Yes
I18N_APRIL,I18NCode for April,April,април,Yes
I18N_ARE_YOU_SURE_YOU_WANT_TO_REMOVE_THIS_MEMBER_,I18NCode for Are you sure you want to remove this member?,Are you sure you want to remove this member?,"Сигурни ли сте, че искате да премахнете този член?",Yes
I18N_AREA,I18NCode for Area,Area,Площ,Yes
I18N_AREA_DIRECTOR_CONSULTANTS,I18NCode for Area Director Consultants,Area Director Consultants,Консултанти на регионални директори,Yes
I18N_AREA_DIRECTORS,I18NCode for Area Directors Page ,Area Directors,Областни директори,Yes
I18N_ARRIVING_TO_GREEN,I18NCode for Arriving to Green,Arriving to green,Пристигане на зелено,Yes
I18N_ASSIGNED,I18NCode for Assigned ,Assigned,Възложено,Yes
I18N_ATTE,I18NCode for Atte.,Atte.,Ате.,Yes
I18N_ATTENDANCE_6_MONTHS,I18NCode for Attendance 6 Months,Attendance (6 month),Посещаемост (6 месеца),Yes
I18N_ATTENDENCE,Attendence,Attendence,Посещение,Yes
I18N_ATTENTION,I18NCode for Attention,Take Care,Пазете се,Yes
I18N_ATTENTION_COUNTRY,I18NCode for Menu Attention Country,Attention Country,Държава на вниманието,Yes
I18N_ATTENTION_MULTIREGION,I18NCode for Menu Attention Multiregion,Attention MultiRegion,Внимание MultiRegion,Yes
I18N_AUGUST,I18NCode for August,August,август,Yes
I18N_AVAILABLE,I18NCode for Available,Available,Наличен,Yes
I18N_AVAILABLE_MECANISMS,I18NCode for Available Mecanisms,Available Mecanisms,Налични механизми,Yes
I18N_AVAILABLE_MEMBERS,I18NCode for Available Members,Available Members,Налични членове,Yes
I18N_AVERAGE_6AM,I18NCode for average(6 am),average (6 m),средно (6 м),Yes
I18N_AVERAGE_CHAPTER_SIZE,I18NCode for Average Chapter Size,Average Size,Среден размер,Yes
I18N_AVERAGE_POINTS,I18NCode for Average Points,Average points,Средни точки,Yes
I18N_AVERAGE_SIZE,I18NCode for average size,Average Size,Среден размер,Yes
I18N_AVG,I18NCode for #Grn on table label,Avg,ср,Yes
I18N_AVG_DAYS,I18NCode for AVG Days,Average Days,Средно дни,Yes
I18N_AVG_POINTS_MEMBER,I18NCode for Avg Points Member,Average points by member,Средни точки по член,Yes
I18N_BACK_TO_LOGIN,I18NCode for Back to login,Back to login page,Назад към страницата за вход,Yes
I18N_BACK_TO_LOGIN_PAGE,I18NCode for Back To Login Page,Back to login page,Назад към страницата за вход,Yes
I18N_BASE,I18NCodes for base,Base,База,Yes
I18N_BEST_PRATICES,I18NCode for Best Pratices,Best Pratices,Най-добри практики,Yes
I18N_BEST_PRATICES_CONTENT,I18NCode for BEST PRATICES Content,"<ul class=""m-4"">
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Entry and Exit of Members during the previous month can only take place by 16:00 of the second working day of each month, as the information which will form the basis for the monthly calculation shall be downloaded at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly PALMS reports should be entered by the second working day of each month as Member Traffic Lights will be calculated at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">PALMS reports should be entered during the 48h following the meeting and cannot be more than 4 weeks late, as they will not be considered by Reporting2You;</span>
        </li>
        <li class=""text-primary m-6"">
            <span class=""text-gray-600 fs-6"">
                Members should not be allowed to change their names and if this happens, a notification should be sent to 
                <a href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                   title=""Enviar email para info@reporting2you.com"">
                    info@reporting2you.com
                </a>
                ;
            </span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Groups should not be allowed to change their names and if this happens, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">All Groups should have a Director Consultant and Area Director on BNI Connect</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">In order to use the Core Group report as soon as the director enters the PALMS report on BNI Connect, an e-mail should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Regions using Group goals will have a more detailed weekly report for Leadership Teams, as it will contain the evolution of the 8 Key Success Factors over the last two months and the current month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly Reports shall be calculated at the end of the second working day of each month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Leadership Teams should be up to date by 16:00 of the second working day of April and October. If any changes occur, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">If you want to stop receiving email with the reports, you need to uncheck the “Send emails” at “Regional Administration->Regional Settings->The Region” menu at reporting2you.com;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You should use “Regional Administration->Regional Settings->Reports” menu to set who receives each report;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You must write the word “substitution” in the drop notes, if the drop reason is really for substitute the member.</span>
        </li>
    </ul>","<ul class=""m-4"">",Yes
I18N_BEST_PRATICES_MESSAGE,I18NCode for Best Pratices Message on page,It is crucial for us to make clear what good practices are necessary for the proper operation of Reporting2You and in this sense we would like you to pay attention to the 10 points shown below:,"За нас е от решаващо значение да изясним какви добри практики са необходими за правилното функциониране на Reporting2You и в този смисъл бихме искали да обърнете внимание на 10-те точки, показани по-долу:",Yes
I18N_BEST_PRATICES_NOTE,I18NCode for Best Pratices Note,NOTE: Reporting2You is not responsible for any report based on faulty or incomplete information resulting from noncompliance with any of the points shown above.,"ЗАБЕЛЕЖКА: Reporting2You не носи отговорност за доклади, базирани на грешна или непълна информация в резултат на неспазване на която и да е от точките, показани по-горе.",Yes
I18N_BNI_DAYS,I18NCode for BNI Days,BNI Days,Дни на BNI,Yes
I18N_BNI_GAME_INFORMATION,I18NCode for Bni Game Information,BNI Game Information,BNI Информация за играта,Yes
I18N_BNI_GAME_NAME,I18NCode for BNI Game Name,BNI Game Name,BNI Име на играта,Yes
I18N_BNI_GAMES,I18NCode for Bni Games Menu,BNI Games,BNI игри,Yes
I18N_BNI_KPI_VIEW,I18NCode for Bni KPI View,KPI Vision in the Game,Визия на KPI в играта,Yes
I18N_BNI_TEAM_NAME,I18NCode for Bni Team Name,Team Name,Име на отбора,Yes
I18N_BNI_TEAM_VIEW,I18NCode for Bni Team View,Bni Teams Vision,Bni Teams Vision,Yes
I18N_BROUGHT_NO_VISITOR_ON_LAST,I18NCode for Brought No Visitor On Last,Brought No Visitor On Last,Последно нямаше посетител,Yes
I18N_BUSINESS_PROFILE,I18NCode for Business Profile,Business profile,Бизнес профил,Yes
I18N_CANCEL,I18NCode for Cancel,Cancel,Отказ,Yes
